Kapitel;Name
01010;Landtag Brandenburg
01020;Allgemeine Bewilligungen
01030;Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht
01040;Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur
02010;Ministerpräsidentin, Ministerpräsident und Staatskanzlei
02030;Vertretung des Landes beim Bund
03010;Ministerium des Innern und für Kommunales
03020;Allgemeine Bewilligungen
03030;E-Government
03040;Einzelplanübergreifende Querschnittsaufgaben
03110;Polizeipräsidium
03130;Fachhochschule der Polizei
03150;Zentraldienst der Polizei
03710;Brand- und Katastrophenschutz und Rettungswesen
03750;Landesschule und Technische Einrichtung für Brand- und Katastrophenschutz
03810;Zentrale Ausländerbehörde
04010;Ministerium der Justiz und für Europa und Verbraucherschutz
04020;Allgemeine Bewilligungen
04030;Deutsche Richterakademie, Tagungsstätte Wustrau
04040;Ordentliche Gerichte und Staatsanwaltschaften
04050;Justizvollzug und Sicherungsverwahrung
04060;Abteilung Verbraucherschutz
04065;Landesamt für Arbeitsschutz, Verbraucherschutz und Gesundheit (Bereich Verbraucherschutz)
04070;Europaangelegenheiten und internationale Beziehungen
04075;Interreg-Programme
04080;Soziale Dienste der Justiz
04090;Gerichte der allgemeinen Verwaltungsgerichtsbarkeit
04100;Finanzgericht Berlin-Brandenburg
04110;Arbeitsgerichtsbarkeit
04120;Sozialgerichtsbarkeit
04121;Landessozialgericht Berlin-Brandenburg
04130;Zentraler IT-Dienstleister der Justiz des Landes Brandenburg (ZenIT)
05010;Ministerium für Bildung, Jugend und Sport
05020;Allgemeine Bewilligungen
05030;Allgemeine überregionale Finanzierungen
05050;Kinder- und Jugendhilfe
05070;Förderung der Weiterbildung und der politischen Bildungsarbeit
05140;Landesinstitut für Schule und Medien Berlin-Brandenburg
05200;Staatliche Schulämter
05300;Schulen gemeinsam
05302;Personalkostenausgleichsfonds
05321;Grundschulen
05324;Gesamtschulen mit gymnasialer Oberstufe
05326;Oberschulen
05327;Gymnasien
05329;Zweiter Bildungsweg
05330;Förderschulen
05332;Oberstufenzentren / Berufliche Schulen
05410;Schulen in freier Trägerschaft
05810;Förderung des Sports
06010;Ministerium für Wissenschaft, Forschung und Kultur
06020;Allgemeine Bewilligungen
06030;Allgemeine überregionale Finanzierungen
06050;Durchführung des BAföG und des AFBG
06100;Maßnahmen im Bereich der Hochschulen
06720;Brandenburgisches Landeshauptarchiv
06730;Brandenburgisches Landesamt für Denkmalpflege und Archäologisches Landesmuseum
06810;Ausgaben für Kultur und Kirchen
07010;Ministerium für Arbeit, Soziales, Gesundheit, Frauen und Familie
07020;Allgemeine Bewilligungen
07030;Arbeitsmarkt
07040;Gesundheit
07050;Krankenhäuser und Krankenhausförderung
07060;Soziales Entschädigungsrecht, Ausgleichsabgabe
07070;Förderung der Sozialstruktur
07080;Frauenförderung, Gleichstellung, Familie
07130;Landesamt für Arbeitsschutz, Verbraucherschutz und Gesundheit
07135;Maßregelvollzug
07150;Sozialversicherung
07160;Landesamt für Soziales und Versorgung
07190;Landesinstitut für Rechtsmedizin
08010;Ministerium für Wirtschaft und Energie
08020;Allgemeine Bewilligungen
08030;Existenzgründung und Unternehmensbegleitung in Industrie, Mittelstand, Handwerk
08040;Förderung Energie- und Umweltwirtschaft
08050;Wirtschafts- und Strukturförderung
08120;Landesamt für Mess- und Eichwesen Berlin-Brandenburg
08140;Landesamt für Bergbau, Geologie und Rohstoffe
10010;Ministerium für Ländliche Entwicklung, Umwelt und Landwirtschaft
10020;Allgemeine Bewilligungen
10025;Strukturförderung Entwicklung ländlicher Räume und Landwirtschaft (FP 2007 bis 2013)
10026;Strukturförderung Entwicklung ländlicher Räume und Landwirtschaft (FP 2014 bis 2020)
10030;Wasser- und Bodenschutz
10032;Ländliche Entwicklung und Landwirtschaft
10050;Abfallwirtschaft, Altlasten und Immissionsschutz
10070;Naturschutz und Landschaftspflege
10080;Forstwirtschaft
10101;Landesamt für Ländliche Entwicklung, Landwirtschaft und Flurneuordnung
10105;Landesamt für Umwelt
10110;Nationalpark Unteres Odertal
11010;Ministerium für Infrastruktur und Landesplanung
11020;Allgemeine Bewilligungen
11040;Angelegenheiten der Stadtentwicklung
11060;Angelegenheiten des Wohnungswesen
11200;Gemeinsame Landesplanungsabteilung Berlin - Brandenburg
11400;Landesamt für Bauen und Verkehr
11460;Straßen- und Brückenbau
11470;Übrige Verkehrsträger - ohne ÖPNV -
11500;Finanzierung des öffentlichen Personennahverkehrs
12010;Ministerium der Finanzen
12020;Allgemeine Bewilligungen
12030;Landeshauptkasse
12040;Aus- und Fortbildungszentrum Königs Wusterhausen
12050;Finanzämter, Technisches Finanzamt
12080;Landesamt zur Regelung offener Vermögensfragen
12200;Zentrale Bezügestelle des Landes Brandenburg
13010;Landesrechnungshof
14010;Verfassungsgericht des Landes Brandenburg
20010;Steuern
20020;Allgemeine Bewilligungen
20030;Kommunaler Finanzausgleich
20060;Umsetzung des Zukunftsinvestitionsgesetzes
20070;Hochwasserkatastrophe 2013
20080;Kommunales Infrastrukturprogramm
20610;Kapitalvermögen
20630;Liegenschaftsvermögen
20650;Schuldenverwaltung
20710;Versorgung
