Kapitel,Name
0200,Behörde d. Sen. für Kinder und Bildung
0201,Allgemeine Bewilligungen für Bildung
0270,Hochschulen -Baumaßnahmen und Erstausstattungen­
0273,Allgemeine Bewilligungen für Hochschulen
0274,Zuschüsse an die Hochschulen
0290,Allgemeine Bewilligungen für Forschungsförderung
0291,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
0292,EFRE-Programm (Wissenschaft)
0500,"Behörde d. Sen. für Wissenschaft, Gesundheit und Verbraucherschutz"
0501,Allgemeine Bewilligungen für Gesundheit
0515,"Lebensmittelüberwachungs-, Tierschutz- und Veterinärdienst des Landes Bremen"
0517,Gewerbeaufsichtsamt des Landes Bremen
0518,Eichamt des Landes Bremen
0519,Brem. Eichbehörde (BgA)
0520,Krankenhausfinanzierung
3401,Allgemeine Bewilligungen für Soziales
0250,Behörde d. Sen. für Kultur
0251,Allgemeine Bewilligungen für Kultur
0256,Landesamt für Denkmalpflege
0258,Staatsarchiv
0259,Landesarchäologie
3270,Kunst und kunstgeschichtliche Einrichtungen
3271,Theater
3272,Klangkörper
3288,Kommunale Kulturarbeit
3289,Allgemeine Bewilligungen für Kulturpflege
0202,Allgemeine Bewilligungen für Kinderbetreuung
0230,Landesinstitut für Schule
0255,Allgemeine Weiterbildung
0257,Landeszentrale für politische Bildung
3200,Behörde d. Sen. für Kinder und Bildung
3210,Schulen des Primarbereichs
3211,Förderzentren
3214,[Keine Angabe]
3215,[Keine Angabe]
3216,Schulen des Sekundarbereichs II
3217,Gymnasien und durchgängige Schulen mit gymnasialem
3218,Oberschulen
3232,Allgemeine Bewilligungen für Kinderbetreuung
3235,Leistungen für Bildung und Teilhabe (Kinder und Bildung)
3239,Allgemeine Bewilligungen für Schulen
0030,Behörde d. Sen. für Inneres
0031,Allgemeine Bewilligungen für Inneres
0032,Landesamt für Verfassungsschutz
0034,Polizei Bremen
0036,Statistisches Landesamt
0037,Digitalfunk
3030,Behörde d. Sen. für Inneres und Sport
3031,Allgemeine Bewilligungen für Inneres 3051 Zentrale Dienste
3032,Katastrophenschutz
3050,Personenstandswesen
3051,Zentrale Dienste
3052,Marktverwaltung
3054,Feuerwehr
3055,Rettungsdienst
