"Produkt";"Produktbezeichnung";"Produktgruppe";"Produktgruppenbezeichnung";"Produktbereich";"Produktbereich Bezeichnung";"Dezernat";"Dezernatsbezeichnung";"Teilhaushalte";"Teilhaushalte Bezeichnung";"Amt / Dienststelle";"Amt / Dienststelle Bezeichnung";"Ergebnis 2015 (Erträge)";"Ergebnis 2015 (Aufwendungen)";"Ergebnis 2015 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)";"Ansatz 2016 (Erträge)";"Ansatz 2016 (Aufwendungen)";"Ansatz 2016 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)";"Ansatz 2017 (Erträge)";"Ansatz 2017 (Aufwendungen)";"Ansatz (Saldo/Zuschussbedarf/Erträge - Aufwendungen)";"Ansatz 2018 (Erträge)";"Ansatz 2018 (Aufwendungen)";"Ansatz 2018 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)"
"111001";"Steuerung";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-000";"000 Gemeinderat";189056,5;-1548772,73;-1359716,23;8800;-1586500;-1577700;189060;-1591165,91;-1402105,91;189060;-1605155,9;-1416095,9
"111001";"Steuerung";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-001";"001 Bürgermeisteramt";73414,05;-1239820,28;-1166406,23;48650;-958576,26;-909926,26;73410;-1019669,9;-946259,9;73410;-1034590;-961180
"111001";"Steuerung/Geschäftsf.GR und Ausschüsse";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_06";"THH 6 Management Dezernat II";"AMT-002";"002 Büro der BMin Stuchlik";16452,1;-530467,89;-514015,79;8500;-486755,86;-478255,86;12000;-514918,55;-502918,55;12000;-524576,98;-512576,98
"111001";"Steuerung/Geschäftsf.GR und Ausschüsse";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_11";"THH 11 Management Dezernat III";"AMT-003";"003 Büro des BMs v.Kirchbach/Büro f.Migr";28370,5;-539143,92;-510773,42;32000;-429857,61;-397857,61;28370;-543012,59;-514642,59;28370;-453477,58;-425107,58
"111001";"Steuerung/Geschäftsf.GR und Ausschüsse";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_15";"THH 15 Managemnt Dezernat IV";"AMT-004";"004 Büro des EBM Neideck";22038,84;-612821,52;-590782,68;12100;-473396,31;-461296,31;22040;-502398,67;-480358,67;22040;-510210,01;-488170,01
"111001";"Steuerung/Geschäftsf.GR und Ausschüsse";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-V";"Dezernat V BM Prof. Dr. Haag";"THH_23";"THH 23 Management Dezernat V";"AMT-005";"005 Büro des BMs Prof Dr. Haag";0;-595241,66;-595241,66;0;-513851,16;-513851,16;0;-566460,1;-566460,1;0;-573601,88;-573601,88
"111001";"Steuerung";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";314370,82;-2118866,38;-1804495,56;118540;-1956611,67;-1838071,67;343090;-2117961,33;-1774871,33;289250;-2062365,61;-1773115,61
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-151";"151 Ortsverw. Lehen";5877,13;-165001,26;-159124,13;0;-109486,56;-109486,56;0;-78742,72;-78742,72;0;-80749,38;-80749,38
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-152";"152 Ortsverw. Opfingen";734,4;-94660,98;-93926,58;0;-106183,59;-106183,59;734,4;-94639,89;-93905,49;734,4;-95160,63;-94426,23
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-153";"153 Ortsverw. Waltershofen";71,76;-50667,04;-50595,28;0;-53014,05;-53014,05;71,76;-58902,34;-58830,58;71,76;-59008,91;-58937,15
