"Produkt";"Produktbezeichnung";"Produktgruppe";"Produktgruppenbezeichnung";"Produktbereich";"Produktbereich Bezeichnung";"Dezernat";"Dezernatsbezeichnung";"Teilhaushalte";"Teilhaushalte Bezeichnung";"Amt / Dienststelle";"Amt / Dienststelle Bezeichnung";"Ergebnis 2015 (Erträge)";"Ergebnis 2015 (Aufwendungen)";"Ergebnis 2015 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)";"Ansatz 2016 (Erträge)";"Ansatz 2016 (Aufwendungen)";"Ansatz 2016 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)";"Ansatz 2017 (Erträge)";"Ansatz 2017 (Aufwendungen)";"Ansatz (Saldo/Zuschussbedarf/Erträge - Aufwendungen)";"Ansatz 2018 (Erträge)";"Ansatz 2018 (Aufwendungen)";"Ansatz 2018 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)"
"122204";"Bürgerservice";"1222";"Einwohnerwesen";"12";"Sicherheit und Ordnung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-156";"156 Ortsverw. Hochdorf";18024;-191842;209866;17950;-138472;-120522;18026;-192649;-174623;18026;-194892;-176866
"122204";"Bürgerservice";"1222";"Einwohnerwesen";"12";"Sicherheit und Ordnung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-157";"157 Ortsverw. Ebnet";11082;-124115;135197;9170;-132636;-123466;11580;-100439;-88859;11580;-101527;-89947
"122204";"Bürgerservice";"1222";"Einwohnerwesen";"12";"Sicherheit und Ordnung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-158";"158 Ortsverw. Kappel";8600;-142528;151128;9200;-139156;-129956;8580;-137523;-128943;8580;-139955;-131375
"122205";"Einbürgerungen/Festst.Staatsangehörigk.";"1222";"Einwohnerwesen";"12";"Sicherheit und Ordnung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_14";"THH 14 Amt f. Migration und Integration";"AMT-540";"540 Amt f. Migration und Integration";115280;-176299;291578;155000;-259197;-104197;0;-195724;-195724;0;-232357;-232357
"122206";"Restaufgaben Lastenausgleich";"1222";"Einwohnerwesen";"12";"Sicherheit und Ordnung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_13";"THH 13 Amt f. Soziales, Senioren";"AMT-500";"500 Amt f. Soziales, Senioren";1;-40271;40272;0;-32577;-32577;0;-13149;-13149;0;-13631;-13631
"122207";"Aufenthaltsreg./Aufenthaltsbee. Maßnah.";"1222";"Einwohnerwesen";"12";"Sicherheit und Ordnung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_14";"THH 14 Amt f. Migration und Integration";"AMT-540";"540 Amt f. Migration und Integration";454021;-1473807;1927828;460000;-1377947;-917947;590000;-2276645;-1686645;590000;-2355734;-1765734
"122300";"Personenstandswesen";"1223";"Personenstandswesen";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_19";"THH 19 Standesamt";"AMT-340";"340 Standesamt";661104;-1510316;2171420;599000;-1291729;-692729;665070;-1306713;-641643;665070;-1341955;-676885
"122501";"Sozialversicherungsangelegenheiten";"1225";"Sozialversicherung";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_16";"THH 16 Amt f. Bürgerservice, Infover.";"AMT-120";"120 Amt f. Bürgerservice, Infover.";1;-99591;99592;0;-84999;-84999;0;-16500;-16500;0;-16500;-16500
"122601";"Lebensmittelüberw.u. Verbraucherschutz";"1226";"Verbr.schutz, Lebensmittelü., Veterinärw";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_18";"THH 18 Amt f. öffentliche Ordnung";"AMT-320";"320 Amt f. öffentliche Ordnung";43765;-786452;830217;18000;-832825;-814825;41000;-828314;-787314;41000;-926223;-885223
"122603";"Überwachung der Fleischhygiene";"1226";"Verbr.schutz, Lebensmittelü., Veterinärw";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_18";"THH 18 Amt f. öffentliche Ordnung";"AMT-320";"320 Amt f. öffentliche Ordnung";338237;-463202;801439;322000;-481149;-159149;247000;-485830;-238830;247000;-494208;-247208
"122604";"Tiergesundheit u.Tierschutz(Veterinärw.)";"1226";"Verbr.schutz, Lebensmittelü., Veterinärw";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_18";"THH 18 Amt f. öffentliche Ordnung";"AMT-320";"320 Amt f. öffentliche Ordnung";7496;-96118;103614;4000;-137957;-133957;8100;-76361;-68261;8100;-77160;-69060
