Haushalt Art;Titelnr.;Titel;Gruppennr.;Gruppe;Budget Richtung;Bezeichnung;Jahr;Ansatz/Rechnung;Betrag
Vermögenshaushalt;0;Allgemeine Verwaltung;600;Einrichtungen f.d.gesamte Verwaltung-Rathaus;Einnahmen;Verkauf von beweglichen Sachen;2015;Rechnung;0
Vermögenshaushalt;0;Allgemeine Verwaltung;600;Einrichtungen f.d.gesamte Verwaltung-Rathaus;Einnahmen;Tilgungszuschuss KfW für Wärmepumpe (Gebäudeneubau Rathaus);2015;Rechnung;0
Vermögenshaushalt;0;Allgemeine Verwaltung;600;Einrichtungen f.d.gesamte Verwaltung-Rathaus;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;0;Allgemeine Verwaltung;600;Einrichtungen f.d.gesamte Verwaltung-Rathaus;Ausgaben;Beschaffung von Fahrzeugen;2015;Rechnung;1751.46
Vermögenshaushalt;0;Allgemeine Verwaltung;600;Einrichtungen f.d.gesamte Verwaltung-Rathaus;Ausgaben;Gebäudeneubau Rathaus;2015;Rechnung;16400000
Vermögenshaushalt;0;Allgemeine Verwaltung;601;EDV-Anlage -01-;Einnahmen;Verkauf von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;0;Allgemeine Verwaltung;601;EDV-Anlage -01-;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens-EDV-;2015;Rechnung;150000
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1141;Umweltschutz (Allgemeine Verwaltungsaufgaben);Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;20000
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1141;Umweltschutz (Allgemeine Verwaltungsaufgaben);Ausgaben;Projektkosten Komunaler Klimaschutz (bisher HH 8161.9420);2015;Rechnung;0
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1141;Umweltschutz (Allgemeine Verwaltungsaufgaben);Ausgaben;Zuschüsse für Investitionen übr. Bereich Energiesparmaßnahmen GR v. 27.11.2001;2015;Rechnung;0
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1300;FFW Gilching;Einnahmen;Verkauf von beweglichen Sachen;2015;Rechnung;0
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1300;FFW Gilching;Einnahmen;Investitionszuweisungen vom Land;2015;Rechnung;0
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1300;FFW Gilching;Einnahmen;Spenden von privaten Unternehmen;2015;Rechnung;0
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1300;FFW Gilching;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;80000
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1300;FFW Gilching;Ausgaben;Beschaffung von Fahrzeugen;2015;Rechnung;50000
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1300;FFW Gilching;Ausgaben;Erweiterungs-, Um- und Ausbauten;2015;Rechnung;44898.42
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1301;FFW Geisenbrunn;Einnahmen;Verkauf von beweglichen Sachen;2015;Rechnung;0
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1301;FFW Geisenbrunn;Einnahmen;Investitionszuweisungen vom Land;2015;Rechnung;0
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1301;FFW Geisenbrunn;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;44000
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1301;FFW Geisenbrunn;Ausgaben;Beschaffung von Fahrzeugen;2015;Rechnung;20000
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1400;Katastrophenschutz, Zivilschutz;Ausgaben;Investitionszuschuss an den THW Förderverein Starnberg e.V.;2015;Rechnung;0
Vermögenshaushalt;1;Öffentliche Sicherheit und Ordnung;1600;Rettungsdienst;Ausgaben;Investitionszuschuss an die BRK Bereitschaft für Kommandowagen;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Einnahmen;Verkauf von beweglichen Sachen;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Einnahmen;Investitionszuweisungen vom Land;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Einnahmen;Investitionszuschüsse v. übrigen Bereich;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Ausgaben;Digitales Klassenzimmer;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Ausgaben;Arbeitsgeräte und Maschinen;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Ausgaben;Schulausstattungen;2015;Rechnung;42840.3
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Ausgaben;Beschaffung von Fahrzeugen;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Ausgaben;Erweiterungs-, Um- und Ausbauten;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Ausgaben;Erweiterungs-, Um- und Ausbaumaßnahmen  -EDV Verkabelung-;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2110;Arnoldus-Grundschule;Ausgaben;Erweiterungs-, Um- und Ausbaumaßnahme Generalinstandsetzung;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2111;James Krüss Grundschule;Einnahmen;Investitionszuweisungen vom Land;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2111;James Krüss Grundschule;Ausgaben;Zuwegung Frühlingstraße - Grunderwerb;2015;Rechnung;-25000
Vermögenshaushalt;2;Schulen;2111;James Krüss Grundschule;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2111;James Krüss Grundschule;Ausgaben;Digitales Klassenzimmer;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2111;James Krüss Grundschule;Ausgaben;Arbeitsgeräte und Maschinen (Ausstattung);2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2111;James Krüss Grundschule;Ausgaben;Schulausstattungen;2015;Rechnung;50000
Vermögenshaushalt;2;Schulen;2111;James Krüss Grundschule;Ausgaben;Gebäudeneubau Fassadensanierung;2015;Rechnung;30000
Vermögenshaushalt;2;Schulen;2111;James Krüss Grundschule;Ausgaben;Erweiterungs-, Um- und Ausbauten;2015;Rechnung;1600000
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Einnahmen;Investitionszuweisungen von Gemeinden und Gemeindeverbänden;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Einnahmen;Investitionszuschüsse v. übrigen Bereich;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Ausgaben;Zimmerausstattungen;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Ausgaben;Arbeitsgeräte und Maschinen (Ausstattung);2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Ausgaben;Digitales Klassenzimmer;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Ausgaben;Schulausstattungen;2015;Rechnung;11254.24
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Ausgaben;Erweiterungs-, Um- und Ausbauten Sanierung Tragwerk Turnhalle;2015;Rechnung;-5900
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Ausgaben;Erweiterungs-, Um- und Ausbaumaßnahmen Sanierung Hartplatz;2015;Rechnung;-10000
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Ausgaben;Erweiterungs-, Um- und Ausbaumaßnahme Umbau Kiosk für Mittagsbetreuung/Hort;2015;Rechnung;-14760
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Ausgaben;Erweiterungs-, Um- und Ausbaumaßnahme Sanierung Brandschutz;2015;Rechnung;300000
Vermögenshaushalt;2;Schulen;2130;Mittelschulen;Ausgaben;Hort, Spielhaus mit Freisitz;2015;Rechnung;-30000
Vermögenshaushalt;2;Schulen;2200;Realschulen;Ausgaben;Investitionzuweisung -Schulzweckverband-;2015;Rechnung;7910.07
Vermögenshaushalt;2;Schulen;2300;Gymnasium;Ausgaben;Investitionszuweisung-Schulzweckverband-;2015;Rechnung;0
Vermögenshaushalt;2;Schulen;2950;Sonstige schulische Aufgaben;Ausgaben;Beschaffung von Fahrzeugen;2015;Rechnung;0
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3000;Kulturförderung;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3210;Archiv -01-;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;-2000
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3211;Kunstsammlungen u.ä.;Einnahmen;Verkauf von beweglichen Sachen;2015;Rechnung;0
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3211;Kunstsammlungen u.ä.;Ausgaben;Erwerb von Kunstgegenständen;2015;Rechnung;500
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3521;Öffentliche Bücherei -01-;Einnahmen;Investitionszuweisungen vom Land;2015;Rechnung;0
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3521;Öffentliche Bücherei -01-;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3600;Naturschutz, Landschaftspflege;Ausgaben;Biotope;2015;Rechnung;0
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3700;Kirchen;Ausgaben;Zuschüsse für Investitionen Kath. Pfarramt St. Sebastian;2015;Rechnung;0
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3700;Kirchen;Ausgaben;Investitionszuschüsse an den übrigen Bereich - Evangelische Kirche;2015;Rechnung;0
Vermögenshaushalt;3;Wissenschaft, Forschung , Kulturpflege;3700;Kirchen;Ausgaben;Investitionszuschüsse an den übrigen Bereich-RenovierungSt.Vitus/St.Sebastian;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4000;Verwaltung der sozialen Angelegenheiten;Ausgaben;Investitionszuschüsse an den übrigen Bereich;2015;Rechnung;4000
Vermögenshaushalt;4;Soziale Sicherung;4320;Soziale Einrichtungen f.pflegebedürftige ältere Menschen;Einnahmen;Rückflüsse von Darlehen vom Landkreis vom Landkreis;2015;Rechnung;8282.93
Vermögenshaushalt;4;Soziale Sicherung;4601;Einrichtung der Jugendarbeit-Spielplätze;Ausgaben;Spielplätze;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4601;Einrichtung der Jugendarbeit-Spielplätze;Ausgaben;Spielplatz Gernholzweg  - Karusell -;2015;Rechnung;-463.03
