Kontengruppe-Nummer;Kontengruppe;Profitcenter;Profitcenter-Bezeichnung;Art;PSP-Element;Kostenart;Kostenart Beschreibung;Ist 2015;Ist 2016;Plan 2016;Plan 2017
41;Zuwendungen und allgemeine Umlagen;104; Finanzmanagement, Rechnungsw. ;1;;;;-206,41;-206,4;-206,4;-206,42
43;öffentlich-rechtliche Leistungsentgelte;104; Finanzmanagement, Rechnungsw. ;1;;;;-2.487,50;-2.885,98;0;-3.000,00
44;Privatrechtliche Leistungsentgelte;104; Finanzmanagement, Rechnungsw. ;1;;;;-19.306,27;-14.099,99;-451;-104
45;sonstige ordentliche Erträge;104; Finanzmanagement, Rechnungsw. ;1;;;;-358.573,30;-391.875,30;-292.798,00;-338.817,00
48;Erträge aus internen Leistungsbeziehungen;104; Finanzmanagement, Rechnungsw. ;4;;;;-48.098,00;-44.860,00;-48.594,00;-48.153,00
50;Personalaufwendungen;104; Finanzmanagement, Rechnungsw. ;2;;;;1.891.919,92;1.909.917,82;2.142.000,52;2.047.127,20
51;Versorgungsaufwendungen;104; Finanzmanagement, Rechnungsw. ;2;;;;194.261,19;241.368,47;189.093,00;235.500,44
52;Aufwendungen für Sach- und Dienstleistungen;104; Finanzmanagement, Rechnungsw. ;2;;;;94.134,33;65.695,84;95.700,00;96.646,00
54;sonstige ordentliche Aufwendungen;104; Finanzmanagement, Rechnungsw. ;2;;;;186.131,60;107.887,74;173.320,48;198.246,91
57;Bilanzielle Aufwendungen;104; Finanzmanagement, Rechnungsw. ;2;;;;7.777,59;7.010,29;6.227,30;6.687,64
44;Privatrechtliche Leistungsentgelte;105; Rechnungsprüfung ;1;;;;0;0;0;0
45;sonstige ordentliche Erträge;105; Rechnungsprüfung ;1;;;;0;0;0;0
48;Erträge aus internen Leistungsbeziehungen;105; Rechnungsprüfung ;4;;;;-6.516,00;-7.302,00;-3.739,00;-6.401,00
50;Personalaufwendungen;105; Rechnungsprüfung ;2;;;;550.502,63;567.906,27;603.537,40;619.855,44
51;Versorgungsaufwendungen;105; Rechnungsprüfung ;2;;;;185.678,90;171.745,57;179.419,84;181.329,80
52;Aufwendungen für Sach- und Dienstleistungen;105; Rechnungsprüfung ;2;;;;0;0;500;500
54;sonstige ordentliche Aufwendungen;105; Rechnungsprüfung ;2;;;;85.268,55;57.882,41;57.674,84;87.478,82
57;Bilanzielle Aufwendungen;105; Rechnungsprüfung ;2;;;;1.162,55;1.122,15;999,94;1.244,89
41;Zuwendungen und allgemeine Umlagen;106; Gleichstellung ;1;;;;0;0;0;0
44;Privatrechtliche Leistungsentgelte;106; Gleichstellung ;1;;;;-12.192,00;-16.611,00;-9.321,00;-9.332,00
50;Personalaufwendungen;106; Gleichstellung ;2;;;;27.971,64;45.075,41;36.573,00;47.200,84
51;Versorgungsaufwendungen;106; Gleichstellung ;2;;;;1.381,96;18.952,66;0;19.215,84
52;Aufwendungen für Sach- und Dienstleistungen;106; Gleichstellung ;2;;;;0;0;0;0
54;sonstige ordentliche Aufwendungen;106; Gleichstellung ;2;;;;17.068,56;13.314,32;15.846,59;14.650,71
57;Bilanzielle Aufwendungen;106; Gleichstellung ;2;;;;359,09;332,08;332,08;422,89
44;Privatrechtliche Leistungsentgelte;107; Beschäftigtenvertretung ;1;;;;0;0;0;0
48;Erträge aus internen Leistungsbeziehungen;107; Beschäftigtenvertretung ;4;;;;0;0;0;0
52;Aufwendungen für Sach- und Dienstleistungen;107; Beschäftigtenvertretung ;2;;;;670;1.370,60;1.887,00;1.609,00
54;sonstige ordentliche Aufwendungen;107; Beschäftigtenvertretung ;2;;;;7.819,74;5.807,30;7.516,11;7.533,59
57;Bilanzielle Aufwendungen;107; Beschäftigtenvertretung ;2;;;;0;0;0;0
41;Zuwendungen und allgemeine Umlagen;108; Liegensch., Steuern, Zentr. Ausschreib. ;1;;;;-209.768,29;-170.015,65;-175.627,87;-178.436,89
43;öffentlich-rechtliche Leistungsentgelte;108; Liegensch., Steuern, Zentr. Ausschreib. ;1;;;;-35.705,00;-34.999,36;-25.794,00;-23.105,00
44;Privatrechtliche Leistungsentgelte;108; Liegensch., Steuern, Zentr. Ausschreib. ;1;;;;-2.494.634,00;-2.491.148,65;-2.614.719,00;-2.487.241,00
45;sonstige ordentliche Erträge;108; Liegensch., Steuern, Zentr. Ausschreib. ;1;;;;-76.835,13;-147.234,93;-523.271,00;-1.012.417,00
46;Finanzerträge;108; Liegensch., Steuern, Zentr. Ausschreib. ;3;;;;-528,33;0;-128;-100
48;Erträge aus internen Leistungsbeziehungen;108; Liegensch., Steuern, Zentr. Ausschreib. ;4;;;;0;0;0;0
49;Außerordentliche Erträge;108; Liegensch., Steuern, Zentr. Ausschreib. ;1;;;;0;0;0;0
50;Personalaufwendungen;108; Liegensch., Steuern, Zentr. Ausschreib. ;2;;;;928.252,60;937.025,04;938.114,12;975.908,32
51;Versorgungsaufwendungen;108; Liegensch., Steuern, Zentr. Ausschreib. ;2;;;;200.343,99;236.177,24;190.757,40;235.163,44
52;Aufwendungen für Sach- und Dienstleistungen;108; Liegensch., Steuern, Zentr. Ausschreib. ;2;;;;2.477.952,29;2.676.801,06;2.512.585,00;3.007.381,00
54;sonstige ordentliche Aufwendungen;108; Liegensch., Steuern, Zentr. Ausschreib. ;2;;;;29.723,24;51.306,56;152.818,65;205.824,07
55;Zinsen und sonstige Finanzaufwendungen;108; Liegensch., Steuern, Zentr. Ausschreib. ;3;;;;7.136,06;0;10.000,00;12.000,00
