Kapitel;Titel;FKZ;Zweckbestimmung;Ist 2015 in T€;Soll 2016 in T€;Ansatz 2017 in T€
0101;11901;011;Einnahmen aus Veröffentlichungen;0,1;2,0;1,0
0101;11902;011;Kostenbeiträge für private Benutzung verwaltungseigener Geräte, Fahrzeuge usw.;0,0;0,0;0,0
0101;11903;011;Einnahmen aus dem Verkauf von Katalogen usw. bei Kunstausstellungen;0,0;0,0;0,0
0101;11904;011;Erlöse aus dem Verkauf unbrauchbarer oder entbehrlicher Gegenstände;1,4;0,0;0,0
0101;11908;011;Einnahmen im Rahmen der Verfassungsreform;0,0;0,0;0,0
0101;11999;011;Vermischte Einnahmen;0,2;0,0;0,0
0101;12401;011;Einnahmen aus Vermietung, Verpachtung und Nutzung;19,8;19,8;19,8
0101;12402;011;Einnahmen aus der Inanspruchnahme von Leistungen des IT-Referates;54,3;39,5;24,6
0101;12403;011;Einnahmen aus Veranstaltungen nach dem Nutzungskonzept;10,1;8,5;8,5
0101;12901;011;Einnahmen aus der Beteiligung Dritter bei Kunstausstellungen;10,7;0,0;0,0
0101;12902;011;Einnahmen erzielt durch die Landeszentrale für politische Bildung;0,0;0,0;0,0
0101;35901;851;Entnahme aus der Rücklage für Sachausgaben.;0,0;0,0;0,0
0101;35902;851;Entnahme aus der Rücklage für personalwirtschaftliche Maßnahmen;0,0;0,0;0,0
0101;35903;851;"Entnahme aus der Rücklage ""Leistungen nach §§ 19 und 20 Parteiengesetz""";0,0;0,0;0,0
0101;35904;851;"Entnahme aus der Rücklage ""Leistungen an Abgeordnete""";0,0;0,0;0,0
0101;35905;851;"Entnahme aus der Rücklage ""Enquete-Kommissionen und Sonderausschüsse""";0,0;0,0;0,0
0101;35906;851;"Entnahme aus der Rücklage ""Sabbatjahr""";0,0;0,0;0,0
0101;35908;851;"Entnahme aus der Rücklage ""Verfassungsreform""";0,0;0,0;0,0
0101;41101;011;Entschädigung der Abgeordneten sowie Übergangsgelder an ausgeschiedene Abgeordnete;7.042,4;7.133,2;8.873,6
0101;41103;011;Altersentschädigung und Versorgungsabfindung an ausgeschiedene Abgeordnete sowie Hinterbliebenenversorgung (altes Recht), Altersversorgung (neues Recht), Überbrückungsgeld;5.287,9;5.597,2;5.645,3
0101;41104;011;Zuschuss an Abgeordnete und an Versorgungsempfängerinnen und Versorgungsempfänger zu den Kosten in Krankheits-, Geburts- und Todesfällen;167,3;385,5;429,4
0101;41105;011;Aufwendungen für die Beschäftigung von Mitarbeiterinnen und Mitarbeitern;772,5;834,3;904,5
0101;41106;011;Unterstützung der Abgeordneten und ausgeschiedenen Abgeordneten sowie deren Hinterbliebenen in besonderen Fällen;0,0;5,1;5,1
0101;41107;011;Reisekostenentschädigungen der Abgeordneten;479,1;553,0;553,0
0101;41108;018;Erstattung von Versorgungsausgleichsbeträgen an die Sozialversicherungsträger;45,7;44,5;45,7
0101;41201;011;Aufwendungen für parlamentarische Kontrollorgane;0,0;0,5;0,5
