1;Innere Verwaltung
2;Sicherheit und Ordnung
3;Schulträgeraufgaben
4;Kultur und Wissenschaft
5;Soziale Leistungen
6;Kinder-, Jugend- und Familienhilfe
7;Gesundheitsdienste
8;Sportförderung
9;Räumliche Planung u. Entwicklung, Geoinf
10;Bauen und Wohnen
11;Ver- und Entsorgung
12;Verkehrsflächen und -anlagen
13;Natur- und Landschaftspflege
14;Umweltschutz
15;Wirtschaft und Tourismus
16;Allgemeine Finanzwirtschaft
17;Stiftungen
101;Politische Gremien
102;Organisationsangelegenh. und Datenschutz
103;Personalservice
104;Finanzen, Vollstreckung, Finanzbuchh.
105;Allgemeine Rechtsangelegenheiten
106;Verwaltung unbebautes Grundvermögen
107;Gebäudeservice
201;Statistik und Wahlen
202;Allgemeine Sicherheit und Ordnung
203;Gewerbe- und Gaststättena. und Wochenm.
204;Einwohnerangelegenheiten
205;Personenstandswesen
206;Verkehrsangelegenheiten
207;Brandschutz
208;Rettungsdienst
301;Grundschulen
302;Hauptschulen
303;Realschulen
304;Gymnasien
305;Gesamtschulen
306;Förderschulen
307;Schülerbeförderung
308;Födermaßnahmen für Schüler
309;Sonstige Schulträgeraufgaben
401;Museen, Sammlungen
402;Theater
403;Musik- und Kunstschule
404;Volkshochschule
405;Bücherei
406;Archivierung und Restaurierung
501;Leistungen nach SGB II
502;Leistungen nach SGB XII
503;Leistungen für Asylbewerber
504;Leist. n.sonstig. Bundes-u. Landesges.
505;Unterhaltsvorschussleistungen
506;Betreuungsleistungen
507;Sonstige Hilfen und Leistungen
508;Wohnhilfen
601;Förderung v. Kindern i.E., Tagespflege
602;JU-arb., Kinder-u. JU-erh., Fam.-freiz.
603;Son. Leist. z. Förd. j. Menschen u. Fam.
604;Mitw. in gerichtl. Verfahren/Adoptionen
605;Amtspflegs., Amtsvormunds. u. Beistands.
801;Sport- und Freizeitanlagen
802;Sportförderung
901;Planung / Entwicklung, Geoinformation
902;Bodenordnung
903;Gst.-bez. Werteerm., Marktd. u. Karten
1001;Bau- und Grundstücksordnung
1002;Denkmalschutz und Denkmalpflege
1101;Versorgungsunternehmen
1102;Abwasserbeseitigung
1201;Verkehrsflächen und -anlagen, ÖPNV
1301;Natur- und Landschaftspflege
1401;Umweltschutz
1501;Wirtschaftsförderung
1502;Tourismus
1503;Allgemeine Einrichtungen und Unternehmen
1601;Steuern und Abgaben
1602;Allgemeine Zuweisungen und Umlagen
1603;Sonstige Finanzwirtschaft
1701;Stiftungen
